target_item,other_item,No_coRated_items
1499,480,41
1499,1210,39
1499,1580,38
1499,1073,38
1499,858,38
1499,527,38
1499,1240,38
1499,296,38
1499,457,37
1499,1270,37
1499,1,36
1499,318,36
1499,260,36
1499,593,36
1499,780,35
1499,150,35
1499,356,34
1499,1387,34
1499,3578,33
1499,364,33
1499,380,33
1499,2916,33
1499,586,33
1499,2858,32
1499,3527,32
1499,1198,32
1499,1196,32
1499,648,32
1499,1200,31
1499,1544,31
1499,3996,31
1499,541,31
1499,589,31
1499,2028,30
1499,2716,30
1499,736,30
1499,47,30
1499,2,29
1499,4993,29
1499,1617,29
1499,344,29
1499,2571,29
1499,2291,29
1499,1608,29
1499,377,28
1499,32,28
1499,2167,28
1499,1215,28
1499,1214,28
1499,1552,28
1499,588,27
1499,223,27
1499,1527,27
1499,1393,27
1499,349,27
1499,4306,27
1499,1265,27
1499,165,27
1499,1917,27
1499,1246,27
1499,788,27
1499,2273,27
1499,2115,27
1499,153,27
1499,253,26
1499,5418,26
1499,1036,26
1499,1219,26
1499,2959,26
1499,2011,26
1499,1573,26
1499,1396,26
1499,1197,26
1499,1408,26
1499,1407,26
1499,6874,26
1499,50,26
1499,733,26
1499,10,25
1499,1438,25
1499,1097,25
1499,3052,25
1499,1704,25
1499,1089,25
1499,590,25
1499,1876,25
1499,1206,25
1499,1517,25
1499,293,25
1499,1562,25
1499,1584,25
1499,5378,24
1499,4886,24
1499,4370,24
1499,919,24
1499,1258,24
1499,924,24
1499,2294,24
1499,4226,24
1499,2628,24
1499,1997,24
1499,2683,24
1499,1748,24
1499,1653,24
1499,1923,24
1499,786,24
1499,1721,23
1499,110,23
1499,1320,23
1499,2054,23
1499,1291,23
1499,1307,23
1499,1377,23
1499,2762,23
1499,1682,23
1499,367,23
1499,3499,23
1499,288,23
1499,292,23
1499,1201,23
1499,1485,23
1499,3793,23
1499,1777,23
1499,3114,23
1499,2890,23
1499,653,22
1499,208,22
1499,3489,22
1499,5445,22
1499,231,22
1499,357,22
1499,2001,22
1499,832,22
1499,2987,22
1499,2722,22
1499,7361,22
1499,784,22
1499,1644,22
1499,95,22
1499,2353,22
1499,2268,22
1499,1347,22
1499,1222,22
1499,1370,21
1499,1391,21
1499,1127,21
1499,3247,21
1499,2355,21
1499,1213,21
1499,7438,21
1499,5481,21
1499,2671,21
1499,2005,21
1499,2194,21
1499,434,21
1499,3081,21
1499,3147,21
1499,2997,21
1499,2797,21
1499,1625,21
1499,2985,21
1499,2100,21
1499,1961,21
1499,2542,21
1499,2701,21
1499,500,21
1499,2396,21
1499,1204,20
1499,1101,20
1499,33493,20
1499,4262,20
1499,3623,20
1499,3175,20
1499,1374,20
1499,1676,20
1499,587,20
1499,1079,20
1499,1645,20
1499,420,20
1499,2640,20
1499,2617,20
1499,508,20
1499,2541,20
1499,785,20
1499,2174,20
1499,608,20
1499,2329,20
1499,6333,20
1499,6934,20
1499,5679,20
1499,5349,20
1499,6365,20
1499,160,20
1499,8368,20
1499,173,20
1499,6377,19
1499,3535,19
1499,8665,19
1499,6539,19
1499,5989,19
1499,1220,19
1499,1225,19
1499,595,19
1499,2002,19
1499,2694,19
1499,592,19
1499,2706,19
1499,2699,19
1499,551,19
1499,2529,19
1499,1690,19
1499,3253,19
1499,1597,19
1499,3448,19
1499,4022,19
1499,4085,19
1499,4027,19
1499,1732,19
1499,1129,19
1499,539,18
1499,22,18
1499,2539,18
1499,1717,18
1499,2012,18
1499,2161,18
1499,2081,18
1499,8361,18
1499,8636,18
1499,3113,18
1499,2471,18
1499,1641,18
1499,1029,18
1499,368,18
1499,3471,18
1499,724,18
1499,1784,18
1499,1242,18
1499,2407,18
1499,2410,18
1499,19,18
1499,1513,18
1499,3481,18
1499,3948,18
1499,4321,18
1499,39,18
1499,1061,18
1499,104,18
1499,111,18
1499,1230,18
1499,172,17
1499,2000,17
1499,802,17
1499,2424,17
1499,5952,17
1499,1259,17
1499,6502,17
1499,2599,17
1499,1994,17
1499,673,17
1499,2003,17
1499,1394,17
1499,3826,17
1499,1136,17
1499,5218,17
1499,3256,17
1499,4310,17
1499,235,17
1499,1479,17
1499,315,17
1499,3671,17
1499,1722,17
1499,2791,17
1499,474,17
1499,2918,17
1499,3160,17
1499,442,17
1499,1333,17
1499,1094,17
1499,778,17
1499,112,16
1499,5502,16
1499,6378,16
1499,1967,16
1499,1909,16
1499,920,16
1499,923,16
1499,145,16
1499,7153,16
1499,21,16
1499,44,16
1499,799,16
1499,2427,16
1499,2455,16
1499,597,16
1499,1882,16
1499,2058,16
1499,849,16
1499,2006,16
1499,1027,16
1499,370,16
1499,2710,16
1499,2763,16
1499,379,16
1499,435,16
1499,1729,16
1499,1035,16
1499,1556,16
1499,1673,16
1499,353,16
1499,3552,16
1499,3617,16
1499,4571,16
1499,3421,16
1499,3257,16
1499,5266,16
1499,5299,16
1499,4308,16
1499,3785,16
1499,3751,16
1499,3753,16
1499,1208,16
1499,1183,16
1499,1371,16
1499,6,16
1499,5,15
1499,36,15
1499,34,15
1499,25,15
1499,163,15
1499,2953,15
1499,2406,15
1499,762,15
1499,5991,15
1499,5630,15
1499,466,15
1499,1954,15
1499,2278,15
1499,5010,15
1499,316,15
1499,748,15
1499,256,15
1499,4975,15
1499,4874,15
1499,4963,15
1499,3273,15
1499,3039,15
1499,3033,15
1499,3176,15
1499,3082,15
1499,1252,15
1499,2470,15
1499,1221,15
1499,6373,15
1499,4344,15
1499,4643,15
1499,1092,15
1499,1090,15
1499,44191,15
1499,6863,15
1499,2761,15
1499,8360,15
1499,141,15
1499,32587,15
1499,1261,15
1499,2019,15
1499,2018,15
1499,1968,15
1499,3897,15
1499,350,15
1499,908,15
1499,4246,15
1499,1500,15
1499,1587,15
1499,2078,15
1499,170,15
1499,4720,15
1499,4369,15
1499,3977,15
1499,51662,14
1499,193,14
1499,33794,14
1499,455,14
1499,2712,14
1499,1288,14
1499,5459,14
1499,1276,14
1499,1278,14
1499,6537,14
1499,2641,14
1499,2572,14
1499,48385,14
1499,783,14
1499,6188,14
1499,410,14
1499,2915,14
1499,5673,14
1499,1590,14
1499,2231,14
1499,329,14
1499,337,14
1499,1100,14
1499,1047,14
1499,4973,14
1499,1193,14
1499,1569,14
1499,3408,14
1499,1358,14
1499,4878,14
1499,4848,14
1499,252,14
1499,1372,14
1499,485,14
1499,2490,14
1499,1247,14
1499,4896,14
1499,1321,14
1499,2405,14
1499,4718,14
1499,1032,14
1499,4014,14
1499,4223,14
1499,3450,14
1499,912,14
1499,552,14
1499,4776,14
1499,48774,14
1499,4638,14
1499,4367,14
1499,4025,14
1499,903,14
1499,3863,14
1499,3698,14
1499,2881,13
1499,1285,13
1499,376,13
1499,2393,13
1499,2947,13
1499,158,13
1499,3005,13
1499,1339,13
1499,198,13
1499,4979,13
1499,708,13
1499,5669,13
1499,1373,13
1499,2085,13
1499,266,13
1499,216,13
1499,1356,13
1499,3717,13
1499,1037,13
1499,1589,13
1499,1591,13
1499,1639,13
1499,1884,13
1499,2094,13
1499,2105,13
1499,303,13
1499,1982,13
1499,3755,13
1499,3555,13
1499,2160,13
1499,4011,13
1499,913,13
1499,904,13
1499,4018,13
1499,4270,13
1499,4002,13
1499,2021,13
1499,4239,13
1499,1080,13
1499,2580,13
1499,1831,13
1499,2717,13
1499,2605,13
1499,6807,13
1499,7147,13
1499,33004,13
1499,58559,13
1499,1266,13
1499,30707,13
1499,180,12
1499,1274,12
1499,1263,12
1499,8984,12
1499,8641,12
1499,8528,12
1499,4361,12
1499,4148,12
1499,4816,12
1499,4734,12
1499,79132,12
1499,45447,12
1499,41566,12
1499,48394,12
1499,44199,12
1499,543,12
1499,2616,12
1499,594,12
1499,1805,12
1499,62,12
1499,2302,12
1499,3252,12
1499,3105,12
1499,494,12
1499,2478,12
1499,2502,12
1499,1234,12
1499,6870,12
1499,1304,12
1499,1367,12
1499,1345,12
1499,1405,12
1499,4995,12
1499,5060,12
1499,2248,12
1499,2096,12
1499,2109,12
1499,3300,12
1499,3418,12
1499,1378,12
1499,1375,12
1499,1476,12
1499,1022,12
1499,1025,12
1499,1028,12
1499,1610,12
1499,1918,12
1499,1779,12
1499,1911,12
1499,3994,12
1499,5995,12
1499,5810,12
1499,5903,12
1499,2421,12
1499,2431,12
1499,2949,12
1499,454,12
1499,2403,12
1499,2804,12
1499,2872,12
1499,168,12
1499,33166,12
1499,2968,12
1499,185,12
1499,432,12
1499,750,12
1499,2378,12
1499,2746,11
1499,555,11
1499,2707,11
1499,8798,11
1499,8622,11
1499,2700,11
1499,1262,11
1499,7458,11
1499,8644,11
1499,41569,11
1499,4446,11
1499,45722,11
1499,49272,11
1499,56174,11
1499,40815,11
1499,6281,11
1499,2795,11
1499,440,11
1499,2428,11
1499,2395,11
1499,2420,11
1499,1253,11
1499,5618,11
1499,509,11
1499,1298,11
1499,6947,11
1499,1249,11
1499,3263,11
1499,34162,11
1499,34048,11
1499,317,11
1499,1376,11
1499,1188,11
1499,333,11
1499,3361,11
1499,3409,11
1499,2145,11
1499,2144,11
1499,3285,11
1499,2232,11
1499,3949,11
1499,3798,11
1499,3697,11
1499,3703,11
1499,1019,11
1499,1203,11
1499,1957,11
1499,1287,11
1499,2321,11
1499,2366,11
1499,661,11
1499,3255,11
1499,1088,10
1499,4701,10
1499,1093,10
1499,8957,10
1499,7143,10
1499,55820,10
1499,8949,10
1499,7254,10
1499,49530,10
1499,2581,10
1499,6711,10
1499,4447,10
1499,4299,10
1499,969,10
1499,1042,10
1499,3745,10
1499,2023,10
1499,3988,10
1499,3809,10
1499,880,10
1499,3967,10
1499,3624,10
1499,355,10
1499,1466,10
1499,1947,10
1499,1663,10
1499,2193,10
1499,745,10
1499,225,10
1499,1385,10
1499,1380,10
1499,1186,10
1499,3362,10
1499,339,10
1499,3510,10
1499,2134,10
1499,3386,10
1499,1586,10
1499,1199,10
1499,2335,10
1499,2288,10
1499,3006,10
1499,3072,10
1499,1282,10
1499,1231,10
1499,1223,10
1499,1250,10
1499,497,10
1499,3101,10
1499,5816,10
1499,2409,10
1499,2391,10
1499,2394,10
1499,5464,10
1499,471,10
1499,2948,10
1499,33679,10
1499,3,10
1499,17,10
1499,196,9
1499,7,9
1499,11,9
1499,161,9
1499,16,9
1499,8874,9
1499,1293,9
1499,5872,9
1499,6953,9
1499,2724,9
1499,413,9
1499,431,9
1499,441,9
1499,2944,9
1499,2600,9
1499,2770,9
1499,3107,9
1499,1059,9
1499,224,9
1499,1907,9
1499,1912,9
1499,1953,9
1499,1747,9
1499,529,9
1499,532,9
1499,2289,9
1499,3020,9
1499,1120,9
1499,273,9
1499,1148,9
1499,2046,9
1499,1275,9
1499,30810,9
1499,69122,9
1499,8950,9
1499,8961,9
1499,68358,9
1499,56782,9
1499,44195,9
1499,51255,9
1499,54272,9
1499,29,9
1499,3704,9
1499,3752,9
1499,2087,9
1499,2124,9
1499,719,9
1499,647,9
1499,3702,9
1499,2340,9
1499,3868,9
1499,3827,9
1499,3396,9
1499,3363,9
1499,4034,9
1499,909,9
1499,910,9
1499,2013,9
1499,953,9
1499,4016,9
1499,1674,9
1499,1084,9
1499,48,9
1499,31,9
1499,60069,9
1499,1958,8
1499,204,8
1499,524,8
1499,481,8
1499,2692,8
1499,265,8
1499,553,8
1499,1343,8
1499,3108,8
1499,3254,8
1499,3148,8
1499,3087,8
1499,3104,8
1499,5377,8
1499,5388,8
1499,1233,8
1499,1245,8
1499,151,8
1499,7090,8
1499,8376,8
1499,383,8
1499,2951,8
1499,5956,8
1499,2871,8
1499,2826,8
1499,2908,8
1499,596,8
1499,2657,8
1499,2687,8
1499,1801,8
1499,1060,8
1499,4901,8
1499,2352,8
1499,3608,8
1499,2080,8
1499,2324,8
1499,610,8
1499,4019,8
1499,922,8
1499,1921,8
1499,1680,8
1499,616,8
1499,628,8
1499,902,8
1499,2137,8
1499,8970,8
1499,69757,8
1499,63082,8
1499,1267,8
1499,968,8
1499,2140,8
1499,2067,8
1499,30812,8
1499,34405,8
1499,48780,8
1499,48516,8
1499,60684,8
1499,59315,8
1499,56367,8
1499,53125,8
1499,54286,8
1499,60,7
1499,58,7
1499,35836,7
1499,50872,7
1499,44665,7
1499,38061,7
1499,40819,7
1499,3275,7
1499,3911,7
1499,3556,7
1499,3683,7
1499,2125,7
1499,342,7
1499,345,7
1499,74458,7
1499,30749,7
1499,31658,7
1499,1269,7
1499,30793,7
1499,72998,7
1499,2336,7
1499,2369,7
1499,2688,7
1499,5971,7
1499,372,7
1499,382,7
1499,546,7
1499,105,7
1499,8464,7
1499,8784,7
1499,135,7
1499,7293,7
1499,6942,7
1499,1302,7
1499,1296,7
1499,1284,7
1499,24,7
1499,5013,7
1499,261,7
1499,246,7
1499,3000,7
1499,520,7
1499,215,7
1499,4855,7
1499,1960,7
1499,1020,7
1499,207,7
1499,4128,7
1499,1952,7
1499,1086,7
1499,1945,7
1499,1883,7
1499,5015,7
1499,230,6
1499,2243,6
1499,3424,6
1499,2020,6
1499,2064,6
1499,2313,6
1499,46578,6
1499,53996,6
1499,54001,6
1499,39183,6
1499,44555,6
1499,52,6
1499,830,6
1499,45499,6
1499,2076,6
1499,3504,6
1499,2384,6
1499,70286,6
1499,2359,6
1499,68157,6
1499,954,6
1499,300,6
1499,327,6
1499,68954,6
1499,475,6
1499,1411,6
1499,1409,6
1499,3210,6
1499,3174,6
1499,1441,6
1499,1350,6
1499,2528,6
1499,2501,6
1499,535,6
1499,531,6
1499,914,6
1499,852,6
1499,899,6
1499,491,6
1499,800,6
1499,5064,6
1499,18,6
1499,1212,6
1499,277,6
1499,2686,6
1499,81591,6
1499,1049,6
1499,2423,6
1499,866,6
1499,186,5
1499,79,5
1499,915,5
1499,1962,5
1499,272,5
1499,7373,5
1499,107,5
1499,3354,5
1499,319,5
1499,70,5
1499,2371,5
1499,47610,5
1499,1271,5
1499,64614,5
1499,71535,5
1499,837,5
1499,45,5
1499,52973,5
1499,1965,5
1499,2010,5
1499,805,5
1499,1257,5
1499,1254,5
1499,1299,5
1499,8529,5
1499,585,5
1499,1185,5
1499,1172,5
1499,2739,5
1499,2723,5
1499,1207,5
1499,4641,5
1499,4235,5
1499,1091,5
1499,236,5
1499,468,5
1499,2485,5
1499,2467,5
1499,247,5
1499,1449,5
1499,3060,5
1499,36529,4
1499,1272,4
1499,55765,4
1499,54503,4
1499,3317,4
1499,2728,4
1499,2788,4
1499,1179,4
1499,5902,4
1499,1103,4
1499,1125,4
1499,1244,4
1499,162,4
1499,78499,4
1499,743,4
1499,720,4
1499,3916,4
1499,3301,4
1499,741,4
1499,308,4
1499,637,4
1499,348,4
1499,2186,4
1499,362,4
1499,2116,4
1499,81845,4
1499,14,4
1499,4105,4
1499,203,4
1499,2300,4
1499,1175,4
1499,1635,4
1499,1077,4
1499,1357,4
1499,46976,3
1499,2108,3
1499,2150,3
1499,6218,3
1499,838,3
1499,3969,3
1499,307,3
1499,27773,3
1499,73017,3
1499,6016,3
1499,1292,3
1499,1041,3
1499,898,3
1499,1235,3
1499,5945,3
1499,1095,3
1499,280,3
1499,3168,3
1499,237,3
1499,80463,3
1499,1104,3
1499,671,2
1499,3100,2
1499,222,2
1499,994,2
1499,232,2
1499,515,2
1499,140,2
1499,1256,2
1499,276,2
1499,1228,2
1499,916,1
1499,538,1
1499,562,1
1499,194,1
